TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-02-09,PAYPAL  CIPR,10085721,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,480
2017-02-13,EISTEDDFOD CYMRU,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,1500
2017-02-22,UPPER CRUST,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,8.78
2017-02-08,OYSTER AUTOTOPUP,10085346,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-17,THE SOCIETY OF BIOLOGY,10085346,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,67
2017-02-01,AMAZON EU,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,41.98
2017-02-01,AMAZON UK MARKETPLACE,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,42.88
2017-02-02,BTS REGISTRATION PAYME,10085460,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,360
2017-02-02,BTS REGISTRATION PAYME,10085460,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,295
2017-02-02,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,163.65
2017-02-02,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,37
2017-02-03,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,200
2017-02-04,MALMAISON LIVERPOO,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,105
2017-02-06,CANFORD AUDIO PLC,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,81.6
2017-02-07,WWW.RSS.ORG.UK,10085460,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,135
2017-02-09,WWW.CATALOGUE.WLPVP.CO,10085460,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,30.43
2017-02-09,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,53.95
2017-02-17,AMAZON EU,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,43.96
2017-02-17,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,108.8
2017-02-20,AMAZON UK MARKETPLACE,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,11.15
2017-02-21,TRAINLINE,10085460,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,6.96
2017-02-22,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,106
2017-02-23,TRAVELODGE,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,112.25
2017-02-23,TRAVELODGE,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,151.5
2017-02-27,TRAINLINE,10085460,EXP - PURCHASE OF GOODS/SERVICES - RAIL TRAVEL,7.74
2017-02-28,ACT INTL ASSN FOR FOOD,10085460,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,540.76
2017-02-24,LIGHTHOUSE PRINTIN,10085721,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,69
2017-02-24,LIGHTHOUSE PRINTIN,10085721,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,59.4
2017-02-07,AMAZON UK MARKETPLACE,10085510,EXP - MISCELLANEOUS EXPENDITURE,9.95
2017-02-08,ASHA'S,10085510,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,283
2017-02-21,APCOA - NWR LEEDS,10085510,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,19
2017-02-21,LEEDS TICKET OFFICE,10085510,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,239
2017-02-27,APCOA - NWR LEEDS,10085510,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,19
2017-02-07,BISTROT,10085347,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,36.37
2017-02-25,AMAZON UK RETAIL AMAZO,10085347,EXP - MISCELLANEOUS EXPENDITURE,19.94
2017-02-10,CHARTERED INSTITUTE OF,10085550,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,2382
2017-02-16,PRET A MANGER,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,7.04
2017-02-16,SAINSBURYS SACAT 2019,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.7
2017-02-21,SELFSERVE TICKET,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,50
2017-02-24,EAT,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,8
2017-02-27,SAINSBURYS SACAT 2019,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,10.85
2017-02-28,BOOTS 1521,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.54
2017-02-28,ITSU 020 GRT QUEEN ST,10085820,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,13.2
2017-02-08,WEST COAST TRAINS,10085820,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,3.1
2017-02-03,OYSTER BUS AUTOTOP,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-04,OYSTER AUTOTOPUP,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-14,CABFORCE LT ID 8752540,10085110,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,36.85
2017-02-20,APCOA - OFF STREET,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,4.2
2017-02-20,THE FARMERS CLUB,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,290
2017-02-22,APCOA - OFF STREET,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,4.2
2017-02-22,OYSTER AUTOTOPUP,10085110,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
