TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-01-24,YORK COLLEGE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,100
2017-01-25,MSFT  <E040038HTM>,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,285.33
2017-01-31,AMAZON UK MARKETPLACE,10085541,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,29.9
2017-01-05,SURVEYMONKEY.COM,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,24
2017-01-10,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,90
2017-01-13,HOTEL IBIS,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,229.22
2017-01-17,OYSTER RENEW WEB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,50
2017-01-18,ACT INTL ASSN FOR FOOD,10085460,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,550.12
2017-01-18,STARHOTELS DU PARC,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,147.99
2017-01-18,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,100
2017-01-19,PAYPAL  SILVERBACK,10085460,EXP - MISCELLANEOUS EXPENDITURE,43.94
2017-01-20,A&B TAXIS,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,61.8
2017-01-20,A&B TAXIS,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,54.59
2017-01-20,WWW.PRET.COM,10085460,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,36
2017-01-21,OYSTER AUTOTOPUP,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,40
2017-01-23,HEATHROWAIRPORTCAR,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,84
2017-01-25,THE FARMERS CLUB,10085460,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,105
2017-01-26,A&B TAXIS,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,-54.59
2017-01-26,A&B TAXIS,10085460,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,-61.8
2017-01-04,EVENIUM,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,832.14
2017-01-04,HILTON,10085721,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,225.2
2017-01-19,AGILITYLOGISTICS.C,10085721,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,396
2017-01-23,HOLIDAY TAXIS.COM,10085721,EXP - PURCHASE OF GOODS/SERVICES - TAXI SERVICES,239.88
2017-01-28,MADEIRA RESTAURANT LTD,10085721,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,105
2017-01-30,MADEIRA RESTAURANT LTD,10085721,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,264.8
2017-01-05,WWW.SWEATBAND.COM,10085422,EXP - MISCELLANEOUS EXPENDITURE,9.8
2017-01-03,INFERO TRAINING LTD,10085330,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,789.6
2017-01-03,WWW.PMGLTD.CO.UK,10085330,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,474
